name,percent
Robert,0.052645
James,0.052613
John,0.045037
William,0.037126
Richard,0.031227
Charles,0.027172
David,0.022378
Donald,0.021231
Thomas,0.019529
Ronald,0.017503
George,0.015792
Joseph,0.01564
Kenneth,0.012978
Larry,0.012824
Edward,0.012735
Jerry,0.012111
Paul,0.011767
Michael,0.009559
Gerald,0.00887
Frank,0.008816
Gary,0.008544
Raymond,0.008156
Harold,0.007326
Billy,0.006594
Walter,0.006462
Jack,0.006443
Joe,0.006344
Roger,0.006311
Bobby,0.006222
Carl,0.00582
Henry,0.005786
Arthur,0.00563
Willie,0.005559
Dennis,0.005484
Ralph,0.005255
Lawrence,0.005186
Eugene,0.005183
Daniel,0.005122
Wayne,0.004984
Fred,0.004886
Albert,0.004834
Roy,0.004547
Jimmy,0.004194
Norman,0.00418
Harry,0.004112
Peter,0.004101
Anthony,0.004074
Howard,0.004065
Louis,0.003732
Earl,0.003431
Melvin,0.003396
Marvin,0.003317
Francis,0.00328
Leonard,0.003279
Ernest,0.003251
Don,0.003162
Stanley,0.003152
Douglas,0.003145
Dale,0.003117
Clarence,0.00307
Leroy,0.002989
Johnny,0.002973
Samuel,0.00287
Bruce,0.002853
Stephen,0.002802
Philip,0.002799
Bill,0.002793
Herbert,0.00273
Gene,0.002657
Alfred,0.002638
Frederick,0.002626
Allen,0.002585
Russell,0.002496
Ray,0.002388
Jim,0.002327
Bernard,0.00232
Tommy,0.002314
Lee,0.002288
Patrick,0.002231
Jimmie,0.002226
Eddie,0.002214
Gordon,0.002213
Terry,0.00216
Andrew,0.002153
Alan,0.002058
Leon,0.002054
Glenn,0.002032
Clifford,0.002022
Bob,0.001977
Martin,0.001935
Theodore,0.001934
Phillip,0.001919
Jerome,0.001897
Floyd,0.001843
Lloyd,0.00184
Edwin,0.00182
Tom,0.00179
Curtis,0.001774
Jesse,0.001772
Vernon,0.00176
Clyde,0.001727
Harvey,0.001717
Alvin,0.001713
Jackie,0.001667
Warren,0.001667
Franklin,0.001638
Lewis,0.001638
Leo,0.001625
Ronnie,0.001613
Vincent,0.0016
Herman,0.001587
Charlie,0.001544
Arnold,0.001427
Cecil,0.001396
Gilbert,0.001371
Lester,0.001365
Keith,0.001327
Duane,0.001316
Victor,0.001299
Johnnie,0.001285
Jon,0.001281
Rodney,0.001278
Glen,0.001259
Benjamin,0.001255
Allan,0.001248
Calvin,0.001231
Barry,0.001213
Milton,0.001211
Mike,0.00119
Darrell,0.001182
Elmer,0.001174
Roland,0.001172
Leslie,0.001145
