name,percent
Mary,0.051172
Helen,0.022192
Anna,0.018226
Margaret,0.01813
Ruth,0.016755
Elizabeth,0.013107
Marie,0.012293
Florence,0.012214
Mildred,0.012054
Dorothy,0.011889
Ethel,0.01127
Lillian,0.010734
Alice,0.010706
Gladys,0.010176
Edna,0.009444
Frances,0.009085
Annie,0.009003
Rose,0.008997
Grace,0.008593
Bertha,0.00808
Bessie,0.008005
Emma,0.007909
Hazel,0.007868
Clara,0.007793
Gertrude,0.007759
Irene,0.007567
Mabel,0.007427
Louise,0.007304
Martha,0.006904
Pearl,0.00689
Catherine,0.006781
Esther,0.006692
Edith,0.006647
Myrtle,0.006514
Minnie,0.006446
Eva,0.006353
Thelma,0.006008
Ida,0.005987
Elsie,0.005878
Josephine,0.00582
Ruby,0.005816
Agnes,0.005714
Sarah,0.005451
Nellie,0.005331
Beatrice,0.005297
Viola,0.005283
Laura,0.005157
Ella,0.0049
Julia,0.004876
Evelyn,0.004688
Lillie,0.004664
Mattie,0.004657
Lucille,0.004616
Carrie,0.004377
Alma,0.004298
Pauline,0.00425
Lena,0.004199
Mae,0.004151
Virginia,0.004148
Jessie,0.004093
Willie,0.004062
Blanche,0.003905
Katherine,0.003857
Hattie,0.003843
Marion,0.003792
Lucy,0.003714
Mamie,0.00356
Stella,0.003505
Leona,0.003413
Cora,0.003395
Vera,0.003395
Beulah,0.003361
Fannie,0.003296
Jennie,0.003296
Bernice,0.003289
Rosa,0.003088
Lula,0.003057
Ann,0.003009
Ada,0.003002
Eleanor,0.002968
Maggie,0.002753
Dora,0.002695
Kathryn,0.002688
Ellen,0.00265
Daisy,0.00264
Maude,0.002589
Violet,0.002582
Georgia,0.00252
Doris,0.002517
Lois,0.002486
Betty,0.002418
Sadie,0.002404
Nora,0.002387
Marguerite,0.002339
Susie,0.002264
Marjorie,0.002185
Anne,0.002158
Hilda,0.002151
Lola,0.002134
Opal,0.002123
Velma,0.002103
Della,0.002076
Emily,0.002045
Inez,0.002041
Effie,0.001976
Olive,0.001959
Flora,0.001946
Theresa,0.001918
May,0.001898
Charlotte,0.001894
Nettie,0.00187
Lydia,0.001864
Alberta,0.001768
Goldie,0.001754
Nancy,0.001737
Loretta,0.00173
Eunice,0.001717
Lottie,0.001699
Sylvia,0.001699
Katie,0.001689
Mable,0.001658
Jean,0.001652
Sallie,0.001652
Eula,0.001645
Genevieve,0.001645
Vivian,0.001607
Rosie,0.0016
Estelle,0.001587
Essie,0.001566
Ollie,0.001559
Henrietta,0.001535
Harriet,0.001532
Lucile,0.001481
Addie,0.001477
Lela,0.001474
Caroline,0.001467
Verna,0.001467
Iva,0.00145
Lizzie,0.001436
Ora,0.001409
Marian,0.001388
Jane,0.001351
Madeline,0.001344
Maria,0.001344
Geneva,0.001279
Rebecca,0.001269
Kathleen,0.001241
Irma,0.001231
Sara,0.001228
Sophie,0.001228
Barbara,0.001224
Rachel,0.001217
Amelia,0.001207
Wilma,0.001204
Naomi,0.001197
Nina,0.00119
Erma,0.00118
Estella,0.001176
Juanita,0.001176
Etta,0.001173
Flossie,0.001156
Mollie,0.001149
Ola,0.001146
Alta,0.001118
Christine,0.001111
Susan,0.001108
Victoria,0.001094
Olga,0.001019
Amanda,0.001005
Celia,0.001002
Nannie,9.88e-4
Matilda,9.75e-4
Fern,9.61e-4
Norma,9.61e-4
Frieda,9.57e-4
Sally,9.51e-4
Audrey,9.44e-4
Cecelia,0.00093000000000000005
Janie,0.00093000000000000005
Isabel,9.27e-4
Bonnie,9.16e-4
Allie,8.92e-4
Hannah,8.92e-4
Virgie,8.92e-4
Adeline,8.86e-4
Lila,8.86e-4
Freda,8.79e-4
Amy,8.72e-4
Winifred,8.62e-4
Cecilia,8.55e-4
Luella,8.41e-4
Leola,8.34e-4
Elva,8e-4
Selma,7.9e-4
Cleo,7.86e-4
Ina,7.86e-4
Sophia,7.86e-4
Jewel,7.83e-4
Miriam,7.76e-4
Nell,7.73e-4
Rena,7.69e-4
Isabelle,7.63e-4
Jeanette,7.56e-4
Geraldine,7.49e-4
Faye,7.32e-4
Muriel,7.32e-4
Kate,7.28e-4
Jeannette,7.25e-4
Roberta,7.22e-4
Josie,7.04e-4
Belle,7.01e-4
Eliza,6.98e-4
Veronica,6.94e-4
Winnie,6.94e-4
Jewell,6.91e-4
Margie,6.8e-4
Regina,6.77e-4
Zelma,6.77e-4
Anita,6.5e-4
Dollie,6.5e-4
Tillie,6.46e-4
Augusta,6.43e-4
Bertie,6.43e-4
Antoinette,6.39e-4
Fay,6.36e-4
Delia,6.29e-4
Carolyn,6.26e-4
Millie,6.19e-4
Phyllis,6.19e-4
Teresa,6.12e-4
Gracie,6.09e-4
Johnnie,5.98e-4
Lessie,5.98e-4
Cecile,5.92e-4
Gussie,5.92e-4
Rosalie,5.92e-4
Callie,5.81e-4
Madge,5.81e-4
Hester,5.78e-4
Dorothea,5.74e-4
Maudie,5.68e-4
Rita,5.68e-4
Sue,5.61e-4
Adele,5.57e-4
Claire,5.57e-4
Angelina,5.51e-4
Mayme,5.51e-4
Elma,5.47e-4
Maud,5.44e-4
Olivia,5.37e-4
Lelia,5.33e-4
Bettie,5.3e-4
Elnora,5.3e-4
Letha,5.3e-4
Roxie,5.23e-4
Angeline,5.16e-4
Birdie,5.16e-4
Lulu,5.16e-4
Leah,5.09e-4
Leila,5.06e-4
Marcella,4.99e-4
Hallie,4.92e-4
Lora,4.92e-4
Ila,4.89e-4
Nola,4.79e-4
Lorena,4.75e-4
Cornelia,4.72e-4
Dolores,4.72e-4
Lee,4.72e-4
Lenora,4.72e-4
Neva,4.72e-4
Shirley,4.72e-4
June,4.55e-4
Lilly,4.55e-4
Lorene,4.55e-4
Cecil,4.45e-4
Dovie,4.41e-4
Janet,4.41e-4
Reba,4.38e-4
Constance,4.34e-4
Corinne,4.34e-4
Lorraine,4.31e-4
Zella,4.31e-4
Dessie,4.27e-4
Johanna,4.27e-4
Angela,4.24e-4
Patricia,4.24e-4
Adelaide,4.21e-4
Annette,4.21e-4
Christina,4.21e-4
Francis,4.17e-4
Ernestine,4.14e-4
Helene,4.14e-4
Eileen,4.1e-4
Eloise,4.1e-4
Myra,4.07e-4
Pearlie,4e-4
Edythe,3.97e-4
Elvira,3.97e-4
Lou,3.97e-4
Rhoda,3.97e-4
Wanda,3.97e-4
Eugenia,3.86e-4
Hettie,3.86e-4
Helena,3.83e-4
Oma,3.8e-4
Peggy,3.8e-4
Jeanne,3.73e-4
Katharine,3.73e-4
Ophelia,3.73e-4
Catharine,3.69e-4
Leota,3.69e-4
Yvonne,3.69e-4
Odessa,3.66e-4
Gertie,3.62e-4
