name,percent
Robert,0.05314
James,0.050101
John,0.04532
William,0.038272
Richard,0.030726
Charles,0.028411
Donald,0.02788
George,0.018009
Joseph,0.016823
Thomas,0.016175
Edward,0.013524
Ronald,0.011834
David,0.011777
Paul,0.011616
Kenneth,0.011193
Frank,0.010734
Jack,0.009635
Harold,0.009359
Raymond,0.009329
Billy,0.008766
Walter,0.007616
Gerald,0.007278
Eugene,0.007202
Henry,0.00659
Arthur,0.006397
Bobby,0.006373
Joe,0.006289
Carl,0.006071
Ralph,0.006057
Albert,0.005959
Jerry,0.005953
Willie,0.005859
Franklin,0.005252
Fred,0.005179
Harry,0.005039
Howard,0.004895
Norman,0.004857
Lawrence,0.004819
Roy,0.004811
Louis,0.004605
Earl,0.004294
Daniel,0.004229
Clarence,0.004191
Marvin,0.004044
Francis,0.004013
Anthony,0.003897
Leonard,0.003881
Roger,0.003843
Herbert,0.003611
Ernest,0.003604
Melvin,0.003512
Wayne,0.003497
Michael,0.003481
Don,0.003386
Stanley,0.003365
Leroy,0.003286
Alfred,0.0032
Larry,0.003189
Bill,0.003156
Peter,0.003069
Samuel,0.003049
Ray,0.002978
Bernard,0.002948
Jimmy,0.002873
Dale,0.002866
Gene,0.002724
Russell,0.00264
Theodore,0.00256
Floyd,0.00249
Philip,0.002481
Gordon,0.002471
Jimmie,0.002439
Lloyd,0.002369
Glenn,0.002317
Andrew,0.002301
Leo,0.0023
Edwin,0.002283
Frederick,0.002277
Lee,0.002257
Gary,0.002213
Douglas,0.002208
Bob,0.002177
Vernon,0.002163
Allen,0.002162
Leon,0.002141
Clifford,0.002117
Clyde,0.002097
Alvin,0.002081
Martin,0.002026
Johnny,0.00201
Lewis,0.002
Bruce,0.001996
Eddie,0.001977
Vincent,0.001947
Charlie,0.00194
Herman,0.001912
Harvey,0.001858
Jim,0.001842
Warren,0.001772
Jesse,0.001769
Elmer,0.001749
Duane,0.00173
Arnold,0.001713
Gilbert,0.001671
Jerome,0.00166
Dennis,0.001655
Curtis,0.00165
Lester,0.001613
Tommy,0.001596
Patrick,0.001542
Cecil,0.001473
Calvin,0.001462
Milton,0.001459
Roland,0.001448
Johnnie,0.001432
Victor,0.001399
Tom,0.001397
Benjamin,0.001382
Chester,0.001371
Wallace,0.001341
Sam,0.001322
Alan,0.001316
Glen,0.00131
Jackie,0.00131
Phillip,0.0012979999999999999
Stephen,0.001294
Dean,0.001287
Keith,0.001287
Maurice,0.001285
Willard,0.001254
Claude,0.001223
Roosevelt,0.001184
Marion,0.001169
Manuel,0.001162
Edgar,0.00116
Jose,0.001149
Leslie,0.001144
Virgil,0.001116
Everett,0.001102
Max,0.001102
Hugh,0.001096
Oscar,0.001091
Jessie,0.001062
Dick,0.001026
Ted,0.001023
Billie,0.001017
Darrell,0.001012
Wesley,0.001011
Neil,9.77e-4
Homer,9.45e-4
Sidney,9.31e-4
Jay,9.27e-4
Dan,9.2e-4
Allan,9.17e-4
Hubert,9.1e-4
Freddie,9.08e-4
Delbert,9.03e-4
Lyle,8.97e-4
Wilbur,8.81e-4
Nicholas,8.7e-4
Lowell,8.66e-4
Luther,8.58e-4
Ben,8.5e-4
Horace,8.47e-4
Morris,8.47e-4
Earnest,8.44e-4
Rudolph,8.33e-4
Junior,8.01e-4
Bennie,7.98e-4
Tony,7.96e-4
Willis,7.95e-4
Guy,7.72e-4
Rodney,7.67e-4
Carroll,7.61e-4
Otis,7.42e-4
Lonnie,7.22e-4
Clifton,7.15e-4
Steve,7.14e-4
Nathaniel,7.13e-4
Mark,6.81e-4
Karl,6.68e-4
Marshall,6.61e-4
Salvatore,6.59e-4
Alton,6.54e-4
Joel,6.54e-4
Alexander,6.5e-4
Clayton,6.46e-4
Archie,6.45e-4
Leland,6.32e-4
Clinton,6.29e-4
Juan,6.17e-4
Orville,6.15e-4
Wilbert,6.13e-4
Rex,6.12e-4
