name,percent
Emily,0.013017
Hannah,0.011569
Madison,0.010017
Ashley,0.009027
Sarah,0.008865
Alexis,0.008837
Samantha,0.00866
Jessica,0.007876
Taylor,0.007564
Elizabeth,0.007561
Lauren,0.00711
Alyssa,0.006798
Kayla,0.006677
Abigail,0.006564
Brianna,0.006458
Olivia,0.006446
Emma,0.006287
Megan,0.005737
Grace,0.00566
Victoria,0.005477
Rachel,0.005345
Anna,0.005301
Sydney,0.005138
Destiny,0.004935
Morgan,0.004767
Jennifer,0.004706
Jasmine,0.004557
Haley,0.00455
Kaitlyn,0.004394
Julia,0.004393
Nicole,0.004292
Amanda,0.004287
Katherine,0.004065
Natalie,0.00406
Hailey,0.003925
Alexandra,0.003786
Savannah,0.003558
Chloe,0.003557
Rebecca,0.003536
Stephanie,0.003525
Maria,0.003432
Sophia,0.00329
Mackenzie,0.003185
Allison,0.003167
Isabella,0.00313
Amber,0.003099
Mary,0.003096
Danielle,0.003052
Gabrielle,0.002943
Jordan,0.002914
Brooke,0.002829
Michelle,0.00278
Sierra,0.002767
Katelyn,0.00276
Andrea,0.002746
Madeline,0.002694
Sara,0.002663
Kimberly,0.002628
Courtney,0.002627
Erin,0.0026
Brittany,0.002597
Vanessa,0.002574
Jacqueline,0.002533
Jenna,0.002531
Caroline,0.002518
Faith,0.002507
Makayla,0.002465
Bailey,0.002331
Paige,0.002311
Shelby,0.002286
Melissa,0.002271
Kaylee,0.002254
Christina,0.002166
Trinity,0.002146
Caitlin,0.002058
Mariah,0.002056
Autumn,0.002018
Marissa,0.002017
Angela,0.001916
Breanna,0.001916
Catherine,0.001904
Zoe,0.001897
Briana,0.001883
Jada,0.001879
Laura,0.00187
Claire,0.001861
Alexa,0.001842
Kelsey,0.00184
Kathryn,0.001825
Leslie,0.001815
Alexandria,0.001785
Sabrina,0.001736
Mia,0.001729
Isabel,0.001729
Molly,0.001705
Leah,0.0017
Katie,0.001694
Gabriella,0.001688
Cheyenne,0.001688
Cassandra,0.001656
Tiffany,0.001656
Erica,0.001616
Lindsey,0.001611
Kylie,0.001608
Diana,0.001588
Amy,0.001587
Cassidy,0.001586
Mikayla,0.001584
Ariana,0.001582
Margaret,0.001563
Kelly,0.001542
Miranda,0.001525
Maya,0.001513
Melanie,0.001488
Audrey,0.00144
Jade,0.001436
Gabriela,0.001427
Caitlyn,0.001423
Angel,0.001419
Jillian,0.001394
Alicia,0.001384
Jocelyn,0.001376
Erika,0.00137
Lily,0.001369
Heather,0.001347
Madelyn,0.001347
Adriana,0.001344
Arianna,0.001331
Lillian,0.001301
Kiara,0.001284
Riley,0.001281
Crystal,0.001278
Mckenzie,0.001268
Meghan,0.001262
Skylar,0.001255
Ana,0.001215
Britney,0.001205
Angelica,0.0012
Kennedy,0.001198
Chelsea,0.001194
Daisy,0.001186
Kristen,0.001182
Veronica,0.001181
Isabelle,0.001173
Summer,0.001172
Hope,0.001164
Brittney,0.001161
Lydia,0.001153
Hayley,0.001153
Evelyn,0.001114
Bethany,0.001099
Shannon,0.001093
Michaela,0.001089
Karen,0.001088
Jamie,0.001081
Daniela,0.001078
Angelina,0.001073
Kaitlin,0.00107
Karina,0.00107
Sophie,0.001055
Sofia,0.001049
Diamond,0.001042
Payton,0.001033
Cynthia,0.001022
Alexia,0.001013
Valerie,0.001011
Monica,9.99e-4
Peyton,9.87e-4
Carly,9.83e-4
Bianca,9.81e-4
Hanna,9.59e-4
Brenda,9.51e-4
Rebekah,9.49e-4
Alejandra,9.33e-4
Mya,9.2e-4
Avery,9.19e-4
Brooklyn,9.17e-4
Ashlyn,9.14e-4
Lindsay,9.02e-4
Ava,9e-4
Desiree,8.97e-4
Alondra,8.84e-4
Camryn,8.8e-4
Ariel,8.78e-4
Naomi,8.73e-4
Jordyn,8.68e-4
Kendra,8.68e-4
Mckenna,8.55e-4
Holly,8.48e-4
Julie,8.4e-4
Kendall,8.28e-4
Kara,8.27e-4
Jasmin,8.24e-4
Selena,8.23e-4
Esmeralda,8.22e-4
Amaya,8.19e-4
Kylee,8.16e-4
Maggie,8.09e-4
Makenzie,8.08e-4
Claudia,8.06e-4
Cameron,8e-4
Kyra,8e-4
Karla,7.94e-4
Kathleen,7.94e-4
Abby,7.85e-4
Delaney,7.72e-4
Amelia,7.67e-4
Casey,7.61e-4
Serena,7.54e-4
Savanna,7.53e-4
Aaliyah,7.5e-4
Giselle,7.46e-4
Mallory,7.36e-4
April,7.26e-4
Adrianna,7.25e-4
Raven,7.25e-4
Christine,7.24e-4
Kristina,7.19e-4
Asia,7.14e-4
Nina,7.14e-4
Natalia,7.14e-4
Valeria,7.12e-4
Aubrey,7.06e-4
Lauryn,7.06e-4
Kate,7e-4
Jazmin,6.97e-4
Patricia,6.97e-4
Rachael,6.96e-4
Katelynn,6.96e-4
Cierra,6.94e-4
Alison,6.92e-4
Macy,6.89e-4
Nancy,6.88e-4
Elena,6.84e-4
Kyla,6.83e-4
Katrina,6.78e-4
Jazmine,6.77e-4
